year,city,country,avg_temp
1983,Abidjan,Côte D'Ivoire,26.66
1984,Abidjan,Côte D'Ivoire,26.64
1985,Abidjan,Côte D'Ivoire,26.30
1986,Abidjan,Côte D'Ivoire,26.35
1987,Abidjan,Côte D'Ivoire,27.26
1988,Abidjan,Côte D'Ivoire,26.78
1989,Abidjan,Côte D'Ivoire,26.65
1990,Abidjan,Côte D'Ivoire,26.60
1991,Abidjan,Côte D'Ivoire,26.52
1992,Abidjan,Côte D'Ivoire,26.36
1993,Abidjan,Côte D'Ivoire,26.56
1994,Abidjan,Côte D'Ivoire,26.57
1995,Abidjan,Côte D'Ivoire,26.87
1996,Abidjan,Côte D'Ivoire,26.58
1997,Abidjan,Côte D'Ivoire,26.54
1998,Abidjan,Côte D'Ivoire,27.16
1999,Abidjan,Côte D'Ivoire,26.70
2000,Abidjan,Côte D'Ivoire,26.75
2001,Abidjan,Côte D'Ivoire,26.69
2002,Abidjan,Côte D'Ivoire,26.84
2003,Abidjan,Côte D'Ivoire,27.05
2004,Abidjan,Côte D'Ivoire,26.99
2005,Abidjan,Côte D'Ivoire,26.98
2006,Abidjan,Côte D'Ivoire,26.99
2007,Abidjan,Côte D'Ivoire,27.01
2008,Abidjan,Côte D'Ivoire,26.94
2009,Abidjan,Côte D'Ivoire,26.98
2010,Abidjan,Côte D'Ivoire,27.45
2011,Abidjan,Côte D'Ivoire,27.02
2012,Abidjan,Côte D'Ivoire,26.77
2013,Abidjan,Côte D'Ivoire,27.23
